Order ID,Order Date,Customer,Country,Region,Product,Category,Quantity,Unit Price,Discount,Sales,Cost,Profit,Payment Method,Sales Channel
ORD-100001,13/04/2025,Sophia Anderson,Germany,Europe,Office Chair,Furniture,1,282.59,0.1,254.33,170,84.33,Credit Card,Marketplace
ORD-100002,10/04/2025,Jamie Johnson,India,Asia,Bookshelf,Furniture,3,198.33,0,594.99,330,264.99,Credit Card,Online
ORD-100003,10/11/2025,Drew Lewis,Kenya,Africa,Office Chair,Furniture,2,283.12,0,566.24,340,226.24,PayPal,Online
ORD-100004,24/06/2025,Casey Brown,Kenya,Africa,Headphones,Electronics,2,121.28,0.2,194.05,120,74.05,Bank Transfer,Online
ORD-100005,01/10/2025,Jordan Davis,Germany,Europe,Laptop,Electronics,6,841.16,0.1,4542.26,3600,942.26,Credit Card,Retail Store
ORD-100006,21/09/2025,Jordan Hall,Australia,Oceania,Headphones,Electronics,5,124.34,0,621.7,300,321.7,Debit Card,Online
ORD-100007,06/11/2025,Morgan Hall,Nigeria,Africa,Printer,Electronics,4,240.33,0,961.32,600,361.32,Bank Transfer,Online
ORD-100008,03/08/2025,Emma Wilson,Germany,Europe,Laptop,Electronics,6,890.08,0.1,4806.43,3600,1206.43,Debit Card,Marketplace
ORD-100009,07/07/2025,Avery Moore,Germany,Europe,Office Chair,Furniture,1,263.92,0.1,237.53,170,67.53,Bank Transfer,Online
ORD-100010,04/03/2025,Casey Martin,UK,Europe,Headphones,Electronics,3,126.03,0.1,340.28,180,160.28,Credit Card,Online
ORD-100011,15/05/2025,Casey Brown,USA,North America,Bookshelf,Furniture,2,189.66,0,379.32,220,159.32,Debit Card,Online
ORD-100012,04/02/2025,Noah Anderson,USA,North America,Headphones,Electronics,1,125.87,0.1,113.28,60,53.28,Credit Card,Retail Store
ORD-100013,12/12/2025,Daniel Walker,Canada,North America,Keyboard,Electronics,1,77.46,0,77.46,40,37.46,Debit Card,Marketplace
ORD-100014,19/08/2025,Sophia Taylor,Nigeria,Africa,Printer,Electronics,4,230.4,0,921.6,600,321.6,PayPal,Retail Store
ORD-100015,03/03/2025,Sam Martin,USA,North America,Office Chair,Furniture,4,267.92,0.1,964.51,680,284.51,Credit Card,Online
ORD-100016,09/07/2025,Cameron Brown,USA,North America,Laptop,Electronics,1,897.89,0,897.89,600,297.89,Credit Card,Online
ORD-100017,17/05/2025,Cameron Davis,Kenya,Africa,Office Chair,Furniture,3,269.98,0,809.94,510,299.94,Credit Card,Marketplace
ORD-100018,21/02/2025,Olivia Clark,Germany,Europe,Desk,Furniture,3,315.01,0.1,850.53,600,250.53,Debit Card,Online
ORD-100019,23/02/2025,Chris Martin,Australia,Oceania,Office Chair,Furniture,2,285.59,0.05,542.62,340,202.62,PayPal,Online
ORD-100020,20/11/2025,Casey Davis,Australia,Oceania,Headphones,Electronics,2,126.53,0,253.06,120,133.06,PayPal,Online
ORD-100021,28/08/2025,Taylor Davis,India,Asia,Laptop,Electronics,1,884.39,0.05,840.17,600,240.17,Credit Card,Online
ORD-100022,12/12/2025,Alex Thomas,UK,Europe,Printer,Electronics,1,233.44,0.05,221.77,150,71.77,Debit Card,Marketplace
ORD-100023,09/05/2025,Drew Brown,UK,Europe,Keyboard,Electronics,3,76.53,0,229.59,120,109.59,Credit Card,Online
ORD-100024,22/04/2025,Chris Wilson,USA,North America,Keyboard,Electronics,2,72.16,0,144.32,80,64.32,PayPal,Retail Store
ORD-100025,09/01/2025,Alex Thomas,USA,North America,Headphones,Electronics,3,127.36,0.1,343.87,180,163.87,PayPal,Marketplace
ORD-100026,14/04/2025,Ethan Hall,Germany,Europe,Desk,Furniture,1,336.78,0,336.78,200,136.78,Debit Card,Retail Store
ORD-100027,27/07/2025,Liam Davis,Nigeria,Africa,Laptop,Electronics,1,862.08,0,862.08,600,262.08,Credit Card,Retail Store
ORD-100028,14/07/2025,Noah Hall,USA,North America,Bookshelf,Furniture,3,189.58,0,568.74,330,238.74,PayPal,Online
ORD-100029,21/09/2025,Alex Wilson,UK,Europe,Headphones,Electronics,4,123,0.05,467.4,240,227.4,Credit Card,Online
ORD-100030,04/01/2025,Noah Wilson,UK,Europe,Bookshelf,Furniture,3,203.73,0,611.19,330,281.19,PayPal,Retail Store
ORD-100031,06/02/2025,Alex Davis,India,Asia,Office Chair,Furniture,2,295.7,0.15,502.69,340,162.69,Credit Card,Online
ORD-100032,10/06/2025,Taylor Thomas,India,Asia,Headphones,Electronics,1,128.6,0.05,122.17,60,62.17,Credit Card,Online
ORD-100033,08/12/2025,Riley Smith,Australia,Oceania,Monitor,Electronics,1,416.61,0,416.61,280,136.61,Credit Card,Retail Store
ORD-100034,08/02/2025,Mia Lewis,Nigeria,Africa,Monitor,Electronics,4,446.34,0.1,1606.82,1120,486.82,Debit Card,Online
ORD-100035,22/06/2025,Sophia Anderson,Germany,Europe,Laptop,Electronics,1,813.11,0,813.11,600,213.11,Credit Card,Retail Store
ORD-100036,15/10/2025,Olivia Davis,Australia,Oceania,Printer,Electronics,1,244.93,0.05,232.68,150,82.68,Credit Card,Online
ORD-100037,11/04/2025,Morgan Taylor,USA,North America,Bookshelf,Furniture,4,195.89,0,783.56,440,343.56,Credit Card,Online
ORD-100038,16/02/2025,Drew Hall,UK,Europe,Printer,Electronics,1,258.25,0,258.25,150,108.25,Credit Card,Online
ORD-100039,02/10/2025,Cameron Lewis,Germany,Europe,Monitor,Electronics,1,451.56,0,451.56,280,171.56,Debit Card,Online
ORD-100040,01/01/2025,Mia Wilson,Australia,Oceania,Monitor,Electronics,1,408.98,0,408.98,280,128.98,Bank Transfer,Online
ORD-100041,11/07/2025,Liam Brown,Australia,Oceania,Office Chair,Furniture,3,270.11,0,810.33,510,300.33,Bank Transfer,Online
ORD-100042,08/08/2025,Chris Martin,Nigeria,Africa,Printer,Electronics,1,249.95,0.1,224.96,150,74.96,Bank Transfer,Marketplace
ORD-100043,10/04/2025,Casey Davis,USA,North America,Desk,Furniture,2,334.77,0,669.54,400,269.54,Credit Card,Online
ORD-100044,07/09/2025,Liam Thomas,UK,Europe,Monitor,Electronics,2,436.34,0.05,829.05,560,269.05,PayPal,Marketplace
ORD-100045,09/06/2025,Alex Walker,UK,Europe,Keyboard,Electronics,3,77.52,0,232.56,120,112.56,Debit Card,Marketplace
ORD-100046,19/11/2025,Chris Young,USA,North America,Laptop,Electronics,3,837.77,0,2513.31,1800,713.31,Credit Card,Online
ORD-100047,30/08/2025,Jordan Brown,UK,Europe,Printer,Electronics,1,254.36,0,254.36,150,104.36,Credit Card,Online
ORD-100048,24/04/2025,Morgan Martin,Nigeria,Africa,Headphones,Electronics,4,126.53,0.1,455.51,240,215.51,Debit Card,Retail Store
ORD-100049,15/08/2025,Casey Lewis,USA,North America,Headphones,Electronics,2,126.11,0,252.22,120,132.22,Debit Card,Retail Store
ORD-100050,05/08/2025,Mia Clark,UK,Europe,Laptop,Electronics,2,862.37,0.05,1638.5,1200,438.5,Credit Card,Online
ORD-100051,21/08/2025,Daniel Brown,UK,Europe,Keyboard,Electronics,2,77.85,0.15,132.34,80,52.34,Debit Card,Online
ORD-100052,10/03/2025,Liam Moore,UK,Europe,Keyboard,Electronics,2,78.59,0.05,149.32,80,69.32,Credit Card,Marketplace
ORD-100053,05/07/2025,Sam Clark,Australia,Oceania,Desk,Furniture,2,346.26,0,692.52,400,292.52,Credit Card,Online
ORD-100054,15/03/2025,Riley Martin,Canada,North America,Keyboard,Electronics,4,75.4,0.1,271.44,160,111.44,Debit Card,Marketplace
ORD-100055,13/07/2025,Alex Taylor,Nigeria,Africa,Office Chair,Furniture,1,274.63,0.2,219.7,170,49.7,Bank Transfer,Marketplace
ORD-100056,05/08/2025,Chris Taylor,Nigeria,Africa,Keyboard,Electronics,2,75.95,0.1,136.71,80,56.71,Bank Transfer,Online
ORD-100057,19/01/2025,Daniel Lewis,Australia,Oceania,Desk,Furniture,2,328.55,0,657.1,400,257.1,Bank Transfer,Marketplace
ORD-100058,01/01/2025,Alex Taylor,UK,Europe,Office Chair,Furniture,1,278.33,0,278.33,170,108.33,Debit Card,Marketplace
ORD-100059,22/06/2025,Sam Lewis,India,Asia,Office Chair,Furniture,1,280.12,0.15,238.1,170,68.1,Credit Card,Retail Store
ORD-100060,20/01/2025,Alex Wilson,USA,North America,Monitor,Electronics,1,415.08,0,415.08,280,135.08,Bank Transfer,Online
ORD-100061,12/01/2025,Riley Martin,Canada,North America,Bookshelf,Furniture,1,183.14,0,183.14,110,73.14,Credit Card,Online
ORD-100062,05/07/2025,Olivia Moore,Germany,Europe,Monitor,Electronics,1,413.19,0,413.19,280,133.19,Credit Card,Marketplace
ORD-100063,08/08/2025,Sophia Wilson,India,Asia,Office Chair,Furniture,1,294.87,0,294.87,170,124.87,Debit Card,Online
